CASENUM,STRATUM,REGION,PJ,PSU,PSUSTRAT,WEIGHT,VE_TOTAL,MONTH,WKDY_IM,YEAR,HOUR_IM,MINUTE_IM,EVENT1_IM,MANCOL_IM,RELJCT1_IM,RELJCT2_IM,LGTCON_IM,WEATHR_IM,MAXSEV_IM,NO_INJ_IM,ALCHL_IM,LAND_USE,PVH_INVL,TYP_INT,REL_ROAD,CF1,CF2,CF3
201010425911,4,1,1,2,3,298.606,2,1,7,2010,14,55,12,1,0,4,1,1,0,0,2,1,0,1,1,,,
201010425916,1,1,1,2,3,27.146,1,1,6,2010,3,32,35,0,0,1,2,4,3,1,2,1,0,1,4,,,
201010425917,6,1,1,2,3,135.73,1,1,6,2010,16,24,53,0,0,1,5,4,0,0,2,1,0,1,4,,,
201010425922,3,1,3,2,3,27.146,1,1,7,2010,7,42,30,0,0,1,1,1,2,1,2,1,0,1,4,,,
201010425929,4,1,3,2,3,298.606,2,1,4,2010,13,37,12,6,0,2,1,1,0,0,2,1,0,8,1,,,
201010425938,6,1,3,2,3,135.73,3,1,2,2010,16,33,12,1,0,1,1,10,1,2,2,1,0,1,1,,,
201010425942,5,1,3,2,3,54.292,2,1,2,2010,10,47,12,1,0,2,1,10,1,2,2,1,0,3,1,,,
201010425943,5,1,2,2,3,54.292,1,1,7,2010,14,1,42,0,0,1,1,10,1,1,2,1,0,1,5,,,
201010425946,6,1,10,2,3,89.853,1,1,7,2010,23,55,24,0,0,1,2,1,0,0,2,1,0,1,1,,,
201010425947,6,1,10,2,3,89.853,1,1,2,2010,15,5,40,0,0,2,1,10,0,0,2,1,0,10,5,,,
201010425948,6,1,10,2,3,89.853,2,1,2,2010,17,5,12,1,0,2,3,1,0,0,2,1,0,10,1,,,
201010425949,4,1,10,2,3,269.56,2,1,2,2010,16,20,12,6,0,2,5,1,0,0,2,1,0,8,1,,,
201010425951,6,1,10,2,3,89.853,1,1,4,2010,6,10,24,0,0,1,1,1,0,0,2,1,0,1,1,,,
201010425955,4,1,2,2,3,298.606,2,1,7,2010,23,10,12,6,0,1,3,10,0,0,2,1,0,1,1,,,
201010425981,6,1,1,2,3,135.73,1,1,1,2010,15,0,30,0,0,1,1,4,0,0,2,1,0,1,4,,,
201010425985,4,1,4,2,3,269.434,3,1,2,2010,14,45,12,1,0,1,1,1,1,1,2,8,0,1,1,,,
201010425996,6,1,4,2,3,107.773,2,1,6,2010,15,45,12,1,0,1,1,4,0,0,2,8,0,1,1,,,
201010426002,4,1,3,2,3,298.606,2,1,7,2010,16,10,12,6,0,4,1,1,1,1,2,1,0,1,1,,,
201010426006,6,1,3,2,3,135.73,1,1,7,2010,7,2,74,0,0,1,1,10,0,0,2,1,0,1,4,,,
201010426009,3,1,3,2,3,27.146,1,1,1,2010,1,58,73,0,0,1,3,1,2,1,1,1,0,1,4,,,
201010426012,4,1,10,2,3,269.56,1,1,6,2010,2,22,24,0,0,1,2,1,0,0,2,1,0,1,1,,,
