CASENUM,VEH_NO,DRIMPAIR
201010425911,1,0
201010425911,2,0
201010425916,1,0
201010425917,1,0
201010425922,1,2
201010425929,1,0
201010425929,2,0
201010425942,1,0
201010425942,2,0
201010425943,1,0
201010425946,1,0
201010425947,1,0
201010425948,1,0
201010425948,2,0
201010425949,1,0
201010425949,2,0
201010425951,1,0
201010425955,1,0
201010425955,2,0
201010425981,1,0
201010425985,1,0
201010425985,2,0
201010425985,3,0
201010425996,1,0
201010425996,2,0
201010426002,1,0
201010426002,2,0
201010426006,1,0
201010426009,1,9
201010426012,1,0
201010426013,1,0
201010426016,1,0
201010426017,1,0
201010426022,1,0
201010426023,1,0
201010426024,1,0
201010426026,1,0
201010426028,1,0
201010426029,1,0
201010426030,1,0
201010426030,2,0
201010426030,3,0
201010426032,1,0
201010426032,2,0
201010426035,1,0
201010426038,1,0
201010426038,2,0
201010426039,1,0
201010426041,1,0
201010426043,1,0
201010426066,1,0
201010426066,2,0
201010426066,3,0
201010426067,1,9
201010426069,1,0
201010426069,2,0
201010426071,1,0
201010426071,2,0
201010426075,1,0
201010426075,2,0
201010426086,1,0
201010426092,1,0
201010426092,2,0
201010426093,1,0
201010426099,1,0
201010426100,1,0
201010426104,1,0
201010426105,1,0
201010426106,1,0
201010426106,2,0
201010426110,1,2
201010426111,1,9
201010426112,1,0
201010426112,2,0
201010426116,1,0
201010426116,2,0
201010426124,1,0
201010426125,1,0
201010426127,1,96
201010426128,1,0
201010426128,2,0
201010426129,1,0
201010426132,1,0
201010426132,2,0
201010426141,1,0
201010426141,2,0
201010426146,1,0
201010426146,2,0
201010426152,1,0
201010426163,1,0
201010426164,1,0
201010426165,1,0
201010426166,1,0
201010426166,2,0
201010426169,1,0
201010426172,1,0
201010426173,1,0
201010426173,2,0
201010426176,1,0
201010426177,1,9
201010426177,2,0
201010426178,1,0
201010426178,2,0
201010426180,1,0
201010426181,1,0
201010426181,2,0
201010426183,1,0
201010426183,2,0
201010426185,1,0
201010426187,1,0
201010426190,1,0
201010426192,1,0
201010426192,2,0
201010426192,3,0
201010426192,4,0
201010426194,1,0
201010426194,2,0
201010426197,1,0
201010426197,2,0
201010426198,1,2
201010426200,1,0
201010426201,1,0
201010426201,2,0
201010426203,1,0
201010426204,1,0
201010426207,1,0
201010426208,1,0
201010426208,2,0
201010426209,1,0
201010426210,1,0
201010426211,1,0
201010426213,1,0
201010426213,2,0
201010426216,1,0
201010426220,1,0
201010426221,1,0
201010426224,1,0
201010426227,1,0
201010426227,2,0
201010426231,1,0
201010426231,2,0
201010426236,1,0
201010426240,1,0
201010426240,2,0
201010426241,1,0
201010426244,1,0
201010426254,1,0
201010426255,1,0
201010426255,2,0
201010426256,1,0
