CASENUM,VEH_NO,MTM_CRSH
201010426536,1,0
201010426843,1,6
201010426855,1,21
201010427040,1,0
201010427109,1,21
201010427129,1,0
201010427151,1,0
201010427175,1,0
201010427233,1,0
201010427239,1,4
201010427239,2,4
201010427239,3,4
201010427239,4,4
201010427653,1,2
201010427684,1,0
201010427766,1,0
201010427981,1,0
201010428111,1,1
201010428135,1,0
201010428912,1,2
201010428962,1,4
201010429022,1,2
201010429095,1,0
201010787368,1,0
201010787440,1,8
201010787610,1,0
201010787678,1,1
201010787690,1,4
201010788146,1,4
201010788178,1,0
201010788202,1,2
201010788538,1,0
201010788972,1,0
201010789041,1,0
201010789047,1,0
201010789132,1,1
201010789155,1,1
201010789502,1,1
201010789505,1,2
201010789533,1,0
201010789606,1,0
201010789627,1,0
201010789670,1,21
201010789708,1,0
201010789831,1,12
201010789972,1,21
201010790143,1,0
201010790257,1,1
201010790578,1,1
201010791046,1,0
201010791086,1,0
201010791086,2,0
201010791286,1,0
201010791295,1,0
201010791295,2,0
201010791526,1,12
201010791764,1,0
201010791765,1,0
201010792080,1,1
201010792139,1,12
201010792500,1,0
201010792514,1,4
201010792551,1,6
201010792643,1,1
201010792713,1,0
201010792748,1,2
201010792856,1,1
201010792975,1,0
201010793054,1,0
201010793072,1,0
201010793342,1,0
201010793371,1,12
201010793462,1,1
201010793462,1,2
201010793546,1,0
201010793572,1,0
201010793652,1,0
201010793700,1,0
201010793817,1,0
201010793823,1,17
201010793846,1,0
201010793884,1,21
201010793914,1,4
201010793971,1,0
201010793981,1,0
201010794073,1,0
201010794146,1,17
201010794217,1,1
201010794218,1,0
201010794227,1,0
201010794249,1,0
201010794295,1,1
201010794298,1,12
201010794339,1,1
201010794361,1,0
201010794361,2,0
201010794376,1,21
201010794554,1,21
201010794578,1,21
201010794630,1,7
201010794712,1,4
201010794872,1,0
201010795014,1,0
201010795041,1,12
201010795056,1,0
201010795096,1,2
201010795257,1,0
201010795363,1,16
201010795517,1,12
201010795650,1,0
201010795672,1,3
201010795699,1,0
201010795699,2,0
201010795699,3,0
201010795721,1,1
201010795730,1,0
201010795790,1,2
201010795871,1,0
201010795978,1,12
201010796008,1,7
201010796128,1,0
201010796283,1,0
201010796408,1,1
201010796445,1,0
201010796532,1,0
201010796544,1,16
201010796545,1,0
201010796601,1,0
201010796615,1,0
201010796642,1,9
201010796788,1,7
201010797033,1,0
201010797049,1,12
201010797383,1,0
201010797397,1,0
201010797505,1,8
201010797560,1,21
201010797599,1,0
201010797628,1,2
201010797681,1,2
201010797732,1,0
201010797949,1,4
201010798260,1,0
201010798427,1,0
201010798439,1,0
201010798489,1,18
201010798502,1,0
201010798530,1,0
201010798624,1,0
201010798666,1,21
201010799000,1,2
201010799203,1,0
201010799221,1,0
201010799262,1,0
201010799290,1,3
201010799481,1,2
201010799683,1,0
201010799736,1,0
201010799846,1,0
201010799918,1,12
201011169098,1,19
201011169505,1,4
201011169901,1,1
201011169901,1,12
201011169992,1,0
201011170075,1,0
201011170499,1,7
201011170531,1,2
201011170693,1,1
201011170842,1,5
201011170967,1,12
201011171104,1,0
201011171227,1,4
201011171263,1,6
201011171264,1,21
201011171273,1,0
201011171376,1,2
201011171376,1,6
201011171426,1,2
201011171507,1,1
201011171507,1,6
201011171622,1,1
201011171632,1,1
201011171829,1,1
201011171849,1,9
201011171857,1,2
201011172000,1,2
201011172289,1,19
201011172697,1,9
201011172851,1,10
201011172851,2,10
201011173218,1,9
201011173411,1,7
201011173528,1,1
201011173561,1,0
201011173855,1,1
201011173871,1,1
201011173891,1,2
201011173934,1,7
201011173957,1,6
201011173996,1,21
201011174350,1,2
201011174701,1,1
201011174805,1,0
201011174969,1,10
201011175069,1,0
201011175284,1,10
201011175317,1,1
201011175361,1,0
201011175416,1,0
201011175737,1,2
201011175851,1,2
201011175876,1,2
201011175881,1,0
201011175931,1,2
201011176043,1,2
201011176199,1,0
201011176406,1,1
201011176826,1,0
201011176839,1,6
201011176873,1,2
201011177135,1,1
201011177234,1,6
201011177480,1,2
201011177570,1,1
201011177588,1,5
201011177815,1,0
201011177863,1,0
201011178019,1,2
201011178025,1,5
201011178059,1,9
201011178165,1,2
201011178228,1,0
201011178289,1,1
201011178417,1,9
201011178498,1,0
201011178498,2,0
201011178498,3,0
201011178498,4,0
201011178498,5,0
201011178603,1,2
201011178613,1,0
201011178622,1,4
201011178622,2,4
201011178800,1,0
201011179055,1,0
201011179061,1,1
201011518070,1,0
201011518253,1,0
201011518310,1,0
201011518385,1,0
201011518418,1,1
201011518423,1,12
201011518426,1,21
201011518484,1,0
201011518583,1,0
201011518659,1,0
201011518659,2,0
201011518721,1,12
201011518813,1,0
201011518950,1,3
201011519024,1,0
201011519245,1,17
201011519670,1,0
201011519858,1,2
201011519858,1,3
