CASENUM,VEH_NO,MDRDSTRD
201310436487,1,0
201310436580,1,17
201310436595,1,0
201310436595,2,1
201310436599,1,0
201310436605,1,0
201310436605,2,0
201310436613,1,0
201310436613,2,0
201310436617,1,0
201310436619,1,0
201310436619,2,0
201310436659,1,0
201310436659,2,0
201310436662,1,0
201310436662,2,0
201310436676,1,0
201310436676,2,0
201310436684,1,0
201310436684,2,0
201310436713,1,0
201310436713,2,0
201310436714,1,17
201310436714,2,0
201310436717,1,0
201310436719,1,0
201310436719,2,0
201310436725,1,0
201310436725,2,0
201310436726,1,0
201310436726,2,0
201310436735,1,0
201310436740,1,0
201310436740,2,0
201310436747,1,0
201310436750,1,0
201310436757,1,0
201310436759,1,0
201310436768,1,0
201310436769,1,0
201310436774,1,17
201310436774,2,0
201310436785,1,0
201310436795,1,0
201310436795,2,0
201310436797,1,0
201310436806,1,0
201310436819,1,0
201310436819,2,0
201310436820,1,0
201310436835,1,0
201310436836,1,0
201310436836,2,0
201310436844,1,0
201310436844,2,0
201310436851,1,0
201310436853,1,0
201310436856,1,0
201310436858,1,17
201310436859,1,0
201310436861,1,0
201310436861,2,0
201310436864,1,0
201310436864,2,0
201310436878,1,0
201310436878,2,17
201310436883,1,0
201310436883,2,0
201310436883,3,0
201310436885,1,12
201310436885,2,0
201310436890,1,0
201310436892,1,0
201310436894,1,0
201310436894,2,0
201310436895,1,0
201310436902,1,0
201310436905,1,0
201310436907,1,0
201310436914,1,0
201310436914,2,0
201310436914,3,0
201310436919,1,0
201310436920,1,0
201310436932,1,0
201310436932,2,0
201310436945,1,17
201310436945,2,0
201310436948,1,0
201310436956,1,0
201310436957,1,10
201310436958,1,0
201310436958,2,0
201310436967,1,17
201310436967,2,0
201310436977,1,0
201310436981,1,0
201310436986,1,0
201310436986,2,0
201310436989,1,0
201310436995,1,0
201310436995,2,0
201310436998,1,0
201310436998,2,0
201310437002,1,0
201310437004,1,0
201310437004,2,17
201310437006,1,0
201310437030,1,0
201310437030,2,17
201310437037,1,12
201310437037,2,0
201310437039,1,0
201310437052,1,0
201310437052,2,0
201310437061,1,0
201310437063,1,0
201310437063,2,0
201310437067,1,0
201310437068,1,0
201310437073,1,0
201310437078,1,0
201310437081,1,0
201310437086,1,0
201310437120,1,0
201310437127,1,0
201310437127,2,0
201310437132,1,0
201310437137,1,0
201310437140,1,0
201310437140,2,0
201310437143,1,0
201310437159,1,0
201310437162,1,17
201310437166,1,0
201310437177,1,1
201310437177,2,1
201310437179,1,0
201310437182,1,0
201310437187,1,0
201310437187,2,0
201310437193,1,0
201310437197,1,0
201310437202,1,98
201310437203,1,0
201310437203,2,0
201310437204,1,0
201310437205,1,0
201310437205,2,0
201310437207,1,0
201310437227,1,0
201310437227,2,0
