CASENUM,PER_NO,MTM_CRSH
201310436895,1,19
201310436895,1,21
201310437002,1,13
201310437002,1,14
201310437447,1,0
201310437632,1,16
201310437798,1,3
201310437798,1,21
201310437814,1,0
201310437890,1,9
201310438262,1,2
201310438262,1,3
201310438513,1,1
201310438557,1,21
201310438980,1,6
201310439119,1,0
201310439194,1,0
201310439272,1,0
201310439600,1,0
201310439609,1,0
201310439616,1,2
201310439995,1,1
201310440064,1,0
201310440064,2,0
201310440064,3,0
201310440092,1,2
201310724454,1,0
201310725211,1,0
201310725266,1,0
201310725343,1,0
201310725400,1,7
201310725458,1,0
201310725493,1,0
201310725557,1,0
201310725702,1,1
201310725719,1,0
201310725876,1,2
201310725876,1,6
201310725899,1,2
201310725936,1,0
201310726070,1,6
201310726327,1,0
201310726422,1,0
201310726565,1,0
201310726565,2,0
201310726608,1,0
201310727003,1,2
201310727132,1,0
201310727501,1,0
201310727797,1,2
201310727797,1,3
201310727816,1,0
201310727987,1,0
201310728039,1,0
201310728132,1,1
201310728138,1,1
201310728213,1,1
201310728287,1,2
201310728662,1,2
201310728996,1,1
201310729028,1,0
201310729057,1,0
201310729108,1,1
201310729221,1,0
201310729509,1,0
201310729596,1,2
201310729617,1,0
201310729684,1,1
201310729684,1,3
201310729706,1,0
201310729754,1,0
201310729868,1,7
201310729895,1,0
201310730218,1,2
201310730286,1,1
201310730286,1,2
201310730297,1,0
201310730582,1,7
201310730606,1,1
201310730706,1,1
201310730727,1,1
201310730727,1,2
201310730811,1,1
201310731218,1,0
201310731219,1,1
201310731267,1,0
201310731414,1,0
201310731510,1,0
201310731673,1,0
201310731746,1,0
201310731790,1,0
201310731954,1,0
201310732003,1,2
201310732075,1,2
201310732223,1,0
201310732251,1,2
201310732251,1,3
201310732272,1,0
201310732342,1,0
201310732551,1,0
201310732616,1,21
201310732772,1,0
201310732781,1,0
201310732791,1,6
201310732952,1,21
201310733148,1,0
201310733181,1,0
201310733404,1,7
201310733515,1,0
201310733676,1,1
201310733974,1,1
201310734022,1,2
201310734022,1,3
201310734175,1,0
201310734294,1,1
201310734425,1,0
201310734426,1,0
201310734433,1,6
201310734532,1,2
201310734848,1,0
201310734855,1,0
201310734865,1,0
201310734973,1,0
201310734994,1,0
201310735026,1,0
201310735160,1,1
201310735298,1,1
201310735298,1,2
201310735335,1,2
201310735380,1,0
201310735692,1,0
201310735748,1,0
201310736069,1,0
201310736088,1,0
201310736122,1,2
201310736122,1,3
201310736315,1,0
201310736336,1,0
201310736373,1,0
201310736569,1,2
201310736569,1,3
201311101610,1,0
201311102401,1,0
201311102401,2,0
201311102714,1,2
201311102714,1,6
201311103157,1,0
201311103157,2,0
201311103401,1,0
201311103573,1,2
201311103573,1,12
201311104098,1,2
201311104126,1,1
201311104126,1,19
201311104384,1,2
201311104721,1,9
201311104754,1,0
201311104936,1,1
201311104936,1,3
201311104936,2,1
201311104936,2,3
201311104936,3,1
201311104936,3,3
201311105126,1,1
201311105167,1,9
201311105272,1,12
201311105309,1,1
201311105414,1,2
201311105414,1,9
201311105619,1,0
201311105688,1,9
201311105695,1,1
201311106004,1,0
201311106520,1,4
201311106763,1,2
201311106771,1,2
201311106833,1,0
201311106926,1,1
201311106926,1,2
201311106926,1,9
201311106926,1,12
201311107068,1,4
201311107202,1,1
201311107216,1,0
201311107242,1,0
201311107356,1,0
201311107472,1,1
201311107472,1,2
201311107472,1,12
201311107658,1,21
201311107672,1,2
201311107672,1,12
201311107672,1,19
201311107772,1,0
201311107988,1,1
201311107988,1,21
201311107990,1,2
201311107990,1,9
201311107990,1,16
201311108169,1,1
201311108284,1,4
201311108613,1,2
201311108613,1,3
201311108650,1,2
201311108736,1,0
201311108773,1,0
201311108773,2,0
201311108865,1,0
201311108935,1,0
201311109010,1,0
201311109027,1,2
201311109168,1,0
201311109178,1,2
201311109233,1,9
201311109297,1,9
201311109878,1,0
201311110085,1,1
201311110364,1,2
201311110646,1,0
201311110898,1,1
201311111035,1,1
201311111035,1,6
201311111035,1,19
201311111043,1,21
201311111249,1,12
201311111459,1,1
201311111697,1,0
201311111697,2,0
201311111829,1,1
201311111933,1,0
201311112271,1,1
201311112274,1,13
201311112274,1,19
201311112301,1,19
201311112527,1,1
201311112527,1,12
201311112527,1,19
201311112527,2,1
201311112527,2,12
201311112527,2,19
201311112754,1,1
201311112891,1,19
201311112939,1,1
201311112939,1,12
201311112939,1,19
201311113445,1,1
201311113445,1,2
201311113445,1,12
201311113445,1,19
201311113907,1,2
201311113907,1,19
201311113907,1,21
201311115515,1,0
201311526871,1,1
201311526871,1,19
201311528319,1,5
201311528330,1,3
201311528330,1,19
201311528484,1,0
201311528489,1,9
201311528568,1,19
201311528891,1,2
201311528891,1,19
201311528925,1,1
201311530039,1,12
201311530100,1,1
201311530100,1,19
201311530333,1,9
201311530484,1,17
201311530509,1,2
201311530512,1,0
201311530566,1,0
201311530680,1,12
201311530820,1,0
201311530948,1,12
201311531041,1,0
201311531055,1,17
201311531100,1,2
201311531410,1,0
201311531488,1,4
201311531580,1,2
201311531580,1,3
201311531625,1,1
201311531625,1,2
201311531716,1,0
201311531777,1,1
201311532461,1,1
201311533056,1,0
201312008827,1,1
201312420936,1,19
201312421009,1,19
201312421113,1,19
201312421259,1,1
201312421264,1,19
201312421365,1,0
201312421547,1,0
201312421697,1,2
201312421774,1,0
201312421907,1,0
201312421994,1,1
201312422049,1,17
201312422254,1,0
201312422290,1,19
201312422295,1,1
201312422477,1,1
201313064731,1,0
201313064971,1,0
201313065020,1,4
201313065021,1,2
201313065021,1,12
201313065485,1,12
201313065604,1,0
201313065622,1,6
201313066263,1,9
201313066263,1,19
201313066317,1,4
201313066544,1,12
201313066839,1,0
201313067635,1,0
201313067794,1,0
201313067847,1,2
201313067847,1,3
201313067847,1,4
201313068472,1,1
201313068472,1,6
201313069227,1,19
201313069708,1,1
201313069708,1,2
201313069717,1,2
201313069838,1,2
201313069863,1,0
201313070044,1,2
201313070044,1,19
201313070281,1,0
201313070293,1,0
201313070463,1,2
201313070668,1,2
201313070669,1,0
201313070671,1,0
201313070726,1,0
201313070728,1,2
201313070728,1,19
201313070838,1,0
201313071156,1,1
201313071156,1,2
201313071199,1,2
201313071353,1,2
201313071353,1,19
201313071699,1,14
201313071699,1,19
201313072136,1,0
201313072383,1,2
201313072569,1,2
201313072786,1,2
201313072786,1,19
201313072828,1,2
201313072919,1,0
201313073029,1,1
201313073029,1,19
201313073317,1,2
201313073317,1,19
201313073409,1,0
201313073511,1,2
