CASENUM	VEH_NO	REGION	STRATUM	PJ	PSU	PSUSTRAT	MDRMANAV	WEIGHT
201410440220	1	1	6	1	2	3	98	108.584
201410440220	2	1	6	1	2	3	98	108.584
201410440222	1	1	4	1	2	3	98	244.314
201410440222	2	1	4	1	2	3	98	244.314
201410440239	1	1	6	2	2	3	98	108.584
201410440249	1	1	4	3	2	3	98	244.314
201410440249	2	1	4	3	2	3	98	244.314
201410440252	1	1	6	3	2	3	98	108.584
201410440265	1	1	4	4	2	3	98	215.54684
201410440265	2	1	4	4	2	3	0	215.54684
201410440267	1	1	6	4	2	3	98	107.77342
201410440270	1	1	4	4	2	3	0	215.54684
201410440270	2	1	4	4	2	3	98	215.54684
201410440270	3	1	4	4	2	3	98	215.54684
201410440274	1	1	6	4	2	3	92	107.77342
201410440275	1	1	2	4	2	3	4	53.88671
201410440275	2	1	2	4	2	3	0	53.88671
201410440275	3	1	2	4	2	3	98	53.88671
201410440289	1	1	6	6	2	3	3	98.56061
201410440291	1	1	4	6	2	3	98	246.401525
201410440291	2	1	4	6	2	3	98	246.401525
201410440293	1	1	1	6	2	3	98	49.280305
201410440296	1	1	6	6	2	3	98	98.56061
201410440299	1	1	4	6	2	3	98	246.401525
201410440301	1	1	1	6	2	3	92	49.280305
201410440323	1	1	5	9	2	3	98	57.523731
201410440325	1	1	6	9	2	3	98	115.047462
201410440326	1	1	4	9	2	3	98	230.094924
201410440326	2	1	4	9	2	3	98	230.094924
201410440347	1	1	5	1	2	3	98	54.292
201410440347	2	1	5	1	2	3	98	54.292
201410440348	1	1	6	1	2	3	98	108.584
201410440353	1	1	5	1	2	3	98	54.292
201410440353	2	1	5	1	2	3	98	54.292
201410440357	1	1	4	2	2	3	98	244.314
201410440359	1	1	4	3	2	3	98	244.314
201410440359	2	1	4	3	2	3	98	244.314
201410440368	1	1	4	4	2	3	3	215.54684
201410440370	1	1	6	4	2	3	0	107.77342
201410440370	2	1	6	4	2	3	98	107.77342
201410440373	1	1	1	10	2	3	98	89.85326
201410440375	1	1	4	10	2	3	98	269.55978
201410440375	2	1	4	10	2	3	98	269.55978
201410440377	1	1	6	10	2	3	98	89.85326
201410440386	1	1	6	2	2	3	98	108.584
201410440395	1	1	4	3	2	3	0	244.314
201410440395	2	1	4	3	2	3	98	244.314
201410440400	1	1	6	3	2	3	98	108.584
201410440400	2	1	6	3	2	3	98	108.584
201410440405	1	1	4	4	2	3	98	215.54684
201410440407	1	1	6	4	2	3	98	107.77342
201410440410	1	1	6	10	2	3	0	89.85326
201410440410	2	1	6	10	2	3	4	89.85326
201410440411	1	1	4	10	2	3	4	269.55978
201410440411	2	1	4	10	2	3	98	269.55978
201410440414	1	1	6	10	2	3	98	89.85326
201410440414	2	1	6	10	2	3	98	89.85326
201410440420	1	1	4	6	2	3	0	246.401525
201410440420	2	1	4	6	2	3	95	246.401525
201410440422	1	1	6	6	2	3	3	98.56061
