CASENUM	VEH_NO	REGION	STRATUM	PJ	PSU	PSUSTRAT	PVE_FORMS	PNUMOCCS	PMONTH	PHOUR	PMINUTE	PHARM_EV	PMAN_COLL	PTYPE	PHIT_RUN	PMAKE	PMODEL	PMAK_MOD	PBODYTYP	PMODYEAR	PVIN	PTRAILER	PMCARR_I1	PMCARR_I2	PMCARR_ID	PGVWR	PV_CONFIG	PCARGTYP	PHAZ_INV	PHAZPLAC	PHAZ_ID	PHAZ_CNO	PHAZ_REL	PBUS_USE	PSP_USE	PEM_USE	PIMPACT1	PVEH_SEV	PTOWED	PM_HARM	PVEH_SC1	PVEH_SC2	PFIRE	WEIGHT
201410440436	1	1	4	6	2	3	1	1	1	2	24	14	0	2	0	6	399	6399	4	2013	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	4	5	12	0	0	0	246.401525
201410440563	2	1	6	10	2	3	1	0	1	4	45	14	0	3	0	30	399	30399	2	1987	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	8	5	12	0	0	0	89.85326
201410440563	3	1	6	10	2	3	1	0	1	4	45	14	0	3	0	9	399	9399	4	2000	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	6	2	12	0	0	0	89.85326
201410440645	2	1	4	9	2	3	1	0	1	8	33	14	0	2	0	42	399	42399	4	2008	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	63	8	5	12	0	0	0	230.094924
201410440786	2	1	3	1	2	3	1	0	2	15	45	14	0	2	0	49	399	49399	4	1997	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	2	12	0	0	0	27.146
201410440871	2	1	4	6	2	3	1	0	2	22	45	14	0	2	0	55	399	55399	4	2002	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	246.401525
201410440966	2	1	6	16	2	3	1	0	1	14	30	14	0	2	0	7	499	7499	29	1998	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	98	6	2	12	0	0	0	106.644961
201410440968	2	1	4	16	2	3	1	0	2	18	30	14	0	2	0	55	399	55399	4	2011	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	11	2	5	12	0	0	0	213.289922
201410441155	1	1	4	10	2	3	1	0	3	15	40	14	0	2	0	37	399	37399	4	2002	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	62	8	5	12	0	0	0	269.55978
201410441248	3	1	5	6	2	3	2	0	3	10	50	12	6	2	0	54	399	54399	2	1995	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	62	6	2	12	0	0	0	49.280305
201410441248	4	1	5	6	2	3	2	0	3	10	50	12	6	2	0	7	499	7499	39	2011	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	62	6	2	12	0	0	0	49.280305
201410441248	5	1	5	6	2	3	2	0	3	10	50	12	6	2	0	12	499	12499	39	2004	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	49.280305
201410441365	2	1	6	2	2	3	1	0	4	18	20	14	0	2	0	7	499	7499	39	2011	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	108.584
201410441439	1	1	4	10	2	3	1	0	4	12	30	14	0	2	0	37	499	37499	30	2006	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	62	8	5	12	0	0	0	269.55978
201410441502	2	1	4	16	2	3	1	0	4	23	0	14	0	2	0	48	399	48399	4	2008	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	8	5	12	0	0	0	213.289922
201410441663	2	1	1	4	2	3	1	0	5	7	16	14	0	2	0	22	399	22399	4	2002	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	2	12	0	0	0	53.88671
201410441900	2	1	4	4	2	3	1	0	6	15	52	14	0	2	0	42	399	42399	4	2013	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	5	12	0	0	0	215.54684
201410441904	2	1	6	4	2	3	1	0	6	9	28	14	0	2	0	37	399	37399	4	2009	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	107.77342
201410441904	3	1	6	4	2	3	1	0	6	9	28	14	0	2	0	30	399	30399	4	2003	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	107.77342
201410441938	1	1	4	6	2	3	1	0	6	19	27	14	0	2	0	19	399	19399	4	2004	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	2	5	12	0	0	0	246.401525
201410442246	2	1	4	4	2	3	1	1	7	12	22	14	0	2	0	48	999	48999	49	2014	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	11	8	5	12	0	0	0	215.54684
201410442339	2	1	4	2	2	3	1	0	8	20	54	14	0	2	0	6	399	6399	4	1999	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	8	5	12	0	0	0	244.314
201410442361	1	1	5	4	2	3	1	0	7	22	11	14	0	2	0	12	399	12399	4	2005	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	6	2	12	0	0	0	53.88671
201410442571	2	1	4	4	2	3	1	0	9	9	11	14	0	2	0	49	399	49399	4	1994	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	11	8	5	12	0	0	0	215.54684
201410442654	2	1	4	16	2	3	1	0	8	12	34	14	0	2	0	52	399	52399	4	2001	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	213.289922
201410442654	3	1	4	16	2	3	1	0	8	12	34	14	0	2	0	20	399	20399	4	1998	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	0	5	12	0	0	0	213.289922
201410442688	2	1	4	6	2	3	1	0	9	17	4	14	0	2	0	2	499	2499	19	2005	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	5	8	5	12	0	0	0	246.401525
201410443127	2	1	4	10	2	3	1	0	11	13	31	14	0	2	0	37	399	37399	4	2011	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	5	12	0	0	0	269.55978
201410443171	2	1	6	2	2	3	1	0	10	20	38	14	0	2	0	2	999	2999	49	2014	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	6	2	12	0	0	0	108.584
201410443199	2	1	4	4	2	3	1	0	11	15	31	14	0	2	0	71	709	71709	80	2008	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	3	8	5	12	0	0	0	215.54684
201410443241	1	1	4	10	2	3	1	0	11	18	29	14	0	2	0	48	399	48399	4	2006	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	8	5	12	0	0	0	269.55978
201410443252	2	1	4	16	2	3	1	1	10	15	50	14	0	2	0	2	499	2499	49	2009	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	8	5	12	0	0	0	213.289922
201410443390	1	1	4	3	2	3	1	1	11	12	0	14	0	3	0	6	399	6399	1	2000	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	83	8	5	12	0	0	0	244.314
201410443402	1	1	4	6	2	3	1	0	11	4	57	14	0	2	0	49	399	49399	4	2012	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	11	8	5	12	0	0	0	246.401525
201410443507	1	1	4	4	2	3	1	0	11	10	49	14	0	2	0	12	399	12399	4	2013	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	5	5	6	8	5	12	0	0	0	215.54684
201410443729	2	1	4	6	2	3	1	0	12	9	30	14	0	2	0	49	399	49399	4	2010	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	11	8	5	12	0	0	0	246.401525
201410736459	1	1	4	4	3	1	1	1	1	16	30	14	0	2	0	12	422	12422	15	2005	1FMZU72E95UB	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	8	5	12	0	0	0	238.774848
201410736776	2	1	4	21	3	1	1	1	1	20	40	14	0	2	0	49	402	49402	14	2007	JTMZD33VX760	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	233.173952
201410736824	2	1	4	13	3	1	1	0	1	9	40	14	0	2	0	12	499	12499	49	2009	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	6	2	3	8	5	12	0	0	0	243.506835
201410737039	2	1	4	4	3	1	1	0	1	12	45	14	0	2	0	51	43	51043	6	2010	YV4960BZ0A10	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	8	5	12	0	0	0	238.774848
