CASENUM	VEH_NO	PER_NO	REGION	STRATUM	PJ	PSU	PSUSTRAT	MSAFEQMT	WEIGHT
201410441070	0	1	1	3	3	2	3	8	27.146
201410441557	0	1	1	3	3	2	3	8	27.146
201410441848	0	1	1	4	10	2	3	8	269.55978
201410441905	0	1	1	3	4	2	3	8	53.88671
201410441982	0	1	1	3	10	2	3	8	89.85326
201410442092	0	1	1	3	6	2	3	8	49.280305
201410442128	0	1	1	3	3	2	3	8	27.146
201410442129	0	1	1	4	3	2	3	8	244.314
201410442182	0	1	1	3	3	2	3	2	27.146
201410442239	0	1	1	4	4	2	3	8	215.54684
201410442256	0	1	1	4	6	2	3	2	246.401525
201410442272	0	1	1	3	9	2	3	2	57.523731
201410442336	0	1	1	3	2	2	3	2	27.146
201410442477	0	1	1	3	4	2	3	8	53.88671
201410442478	0	1	1	3	4	2	3	2	53.88671
201410442555	0	1	1	3	2	2	3	2	27.146
201410442836	0	1	1	3	3	2	3	8	27.146
201410442936	0	1	1	3	9	2	3	8	57.523731
201410443213	0	1	1	3	6	2	3	8	49.280305
201410443646	0	1	1	3	6	2	3	8	49.280305
201410443742	0	1	1	3	6	2	3	8	49.280305
201410736844	0	1	1	3	4	3	1	8	14.923428
201410736939	0	1	1	4	10	3	1	8	239.16415
201410737528	0	1	1	3	4	3	1	8	14.923428
201410737708	0	1	1	3	10	3	1	8	14.349849
201410737731	0	1	1	3	21	3	1	8	14.573372
201410737852	0	1	1	3	1	3	1	8	12.454
201410737852	0	2	1	3	1	3	1	8	12.454
201410737881	0	1	1	3	16	3	1	2	15.620256
201410738314	0	1	1	3	4	3	1	8	14.923428
201410738315	0	1	1	3	8	3	1	8	14.897799
201410738343	0	1	1	3	16	3	1	2	15.620256
201410738368	0	1	1	3	7	3	1	8	15.166506
201410738407	0	1	1	4	4	3	1	8	238.774848
201410738445	0	1	1	3	16	3	1	8	15.620256
201410738736	0	1	1	4	21	3	1	8	233.173952
201410738832	0	1	1	4	4	3	1	8	238.774848
201410739133	0	1	1	3	8	3	1	8	14.897799
201410739216	0	1	1	3	3	3	1	8	15.236148
201410739272	0	1	1	4	10	3	1	8	239.16415
201410739472	0	1	1	3	16	3	1	8	15.620256
201410739812	0	1	1	3	3	3	1	8	15.236148
201410740105	0	1	1	4	3	3	1	8	238.699652
201410740203	0	1	1	3	7	3	1	9	15.166506
201410740287	0	1	1	3	16	3	1	8	15.620256
201410740360	0	1	1	3	3	3	1	8	15.236148
201410740389	0	1	1	6	3	3	1	8	101.57432
201410740491	0	1	1	3	13	3	1	8	14.75799
201410740514	0	1	1	3	1	3	1	8	12.454
201410740538	0	1	1	3	16	3	1	8	15.620256
201410740552	0	1	1	3	4	3	1	8	14.923428
201410740642	0	1	1	3	13	3	1	8	14.75799
201410740718	0	1	1	3	8	3	1	8	14.897799
201410740793	0	1	1	3	16	3	1	8	15.620256
201410740906	0	1	1	3	4	3	1	2	14.923428
201410740906	0	1	1	3	4	3	1	7	14.923428
201410740969	0	1	1	3	13	3	1	8	14.75799
201410741049	0	1	1	3	3	3	1	8	15.236148
201410741184	0	1	1	3	13	3	1	8	14.75799
201410741337	0	1	1	3	13	3	1	8	14.75799
201410741391	0	1	1	3	7	3	1	8	15.166506
201410741549	0	1	1	3	10	3	1	8	14.349849
201410741816	0	1	1	3	16	3	1	8	15.620256
201410741878	0	1	1	3	13	3	1	8	14.75799
201410741878	0	2	1	3	13	3	1	8	14.75799
201410741908	0	1	1	3	8	3	1	9	14.897799
201410741934	0	1	1	3	8	3	1	8	14.897799
201410741984	0	1	1	3	21	3	1	8	14.573372
201410741990	0	1	1	3	1	3	1	8	12.454
201410742037	0	1	1	3	10	3	1	8	14.349849
201410742137	0	1	1	3	7	3	1	8	15.166506
201410742198	0	1	1	3	21	3	1	8	14.573372
201410742253	0	1	1	3	3	3	1	8	15.236148
201410742277	0	1	1	3	4	3	1	8	14.923428
